Symbol,Security,Sector,Industry,HQ,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",1902
ADBE,Adobe,Information Technology,Application Software,"San Jose, California",1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1932
AES,AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1955
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",1999
AIG,AIG,Financials,Property & Casualty Insurance,"New York City, New York",1919
APD,Air Products,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",1985
ALB,Albemarle,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
ARE,Alexandria,Real Estate,Office REITs,"Pasadena, California",1994
ALGN,Align,Health Care,Health Care Supplies,"San Jose, California",1997
ALLE,Allegion,Industrials,Building Products,"New York City, New York",1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1931
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",1998
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1985
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1994
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019 (1860)
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",1969
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1850
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",1995
AWK,American Water,Utilities,Water Utilities,"Camden, New Jersey",1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1985
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1980
